127.0.0.1 - - [16/Aug/2019:16:36:24 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:25 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:26 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:26 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:44 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:44 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:44 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:46 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:46 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:54 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:54 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:54 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:54 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:54 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:54 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:56 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:56 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:56 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:56 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.js.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:56 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:36:56 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:37:49 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:37:49 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:37:49 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:37:49 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:43:50 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:43:50 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:43:53 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:43:53 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:43:53 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:43:53 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:32 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:32 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:32 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:34 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:35 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:36 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:36 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:36 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:36 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:37 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:37 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:46 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:46 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:46 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:44:46 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:14 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:14 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:16 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:16 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:16 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:16 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:17 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:17 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:18 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:18 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:18 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:45:19 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:46:46 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:46:46 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:46:46 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:47:26 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:47:26 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:47:27 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:47:27 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:12 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:12 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:12 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:12 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:13 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:13 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:13 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:48:16 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:49:40 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:49:40 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Aug/2019:16:49:40 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:37 +0530] "GET /PizzaWale/? HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:01:37 +0530] "GET /PizzaWale/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 144877
