127.0.0.1 - - [18/Aug/2019:10:13:15 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:16 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:20 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:20 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/order/order.view.html HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [18/Aug/2019:10:13:21 +0530] "GET /PizzaWale/static/images/pizza/nonveg/Chicken_Fiesta.jpg HTTP/1.1" 200 28939
